net,length_um
clknet_leaf_43_clk,79.8
net295,79.68
is_alu_reg_reg,79.56
_02597_,79.44
net632,79.345
_04820_,78.7
net493,78.7
clknet_leaf_45_clk,78.62
net539,78.56
clknet_leaf_16_clk,78.5
clknet_leaf_52_clk,78.38
mem_rdata_q\[20\],78.365
_02078_,78.2
_05402_,77.88
clknet_leaf_40_clk,77.54
clknet_leaf_203_clk,77.52
reg_pc\[13\],77.45
_04524_,77.24
_02719_,77.16
clknet_leaf_85_clk,77.04
net941,76.82
net1097,76.76
_02366_,76.74
net974,76.725
net547,76.66
clknet_leaf_105_clk,76.64
clknet_leaf_62_clk,76.35
_04060_,76.33
_04890_,76.32
clknet_leaf_154_clk,76.24
clknet_leaf_7_clk,76.22
_01768_,76.08
clknet_leaf_114_clk,75.94
clknet_leaf_165_clk,75.88
_03417_,75.75
clknet_leaf_140_clk,75.74
clknet_leaf_162_clk,75.34
clknet_leaf_219_clk,75.3
_05398_,74.98
_01674_,74.685
_03956_,74.66
clknet_leaf_13_clk,74.64
net505,74.53
_03924_,74.5
instr_sub,74.38
clknet_leaf_189_clk,74.27
net237,74.015
